semifinal,country,performer,name,semi_order,semi_place,semi_points,final_order,final_place,final_points
S2,Switzerland,Rykka,The Last of Our Kind,3,18,28,,,
S2,Albania,Eneda Tarifa,Fairytale,17,16,45,,,
S1,Armenia,Iveta Mukuchyan,LoveWave,7,2,243,26,7,249
S2,Australia,Dami Im,Sound of Silence,10,1,330,13,2,511
S1,Austria,Zoë,Loin d'ici,12,7,170,24,13,151
S1,Azerbaijan,Samra,Miracle,14,6,185,4,17,117
S2,Belarus,Ivan,Help You Fly,5,12,84,,,
S2,Belgium,Laura Tesoro,What's the Pressure,18,3,274,1,10,181
S1,Bosnia and Herzegovina,Dalal & Deen feat. Ana Rucner and Jala,Ljubav je,17,11,104,,,
S2,Bulgaria,Poli Genova,If Love Was a Crime,12,5,220,8,4,307
S1,Croatia,Nina Kraljić,Lighthouse,5,10,133,17,23,73
S1,Cyprus,Minus One,Alter Ego,11,8,164,14,21,96
S1,Czech Republic,Gabriela Gunčíková,I Stand,10,9,161,2,25,41
S2,Denmark,Lighthouse X,Soldiers of Love,13,17,34,,,
S1,Estonia,Jüri Pootsmann,Play,13,18,24,,,
S1,Finland,Sandhja,Sing It Away,1,15,51,,,
F,France,Amir,J'ai cherché,,,,11,6,257
S2,Georgia,Nika Kocharov & Young Georgian Lolitaz,Midnight Gold,16,9,123,23,20,104
F,Germany,Jamie-Lee,Ghost,,,,10,26,11
S1,Greece,Argo,Utopian Land,2,16,44,,,
S1,Hungary,Freddie,Pioneer,4,4,197,5,19,108
S1,Iceland,Greta Salóme,Hear Them Calling,16,14,51,,,
S2,Ireland,Nicky Byrne,Sunlight,7,15,46,,,
S2,Israel,Hovi Star,Made of Stars,4,7,147,7,14,135
F,Italy,Francesca Michielin,No Degree of Separation,,,,6,16,124
S2,Latvia,Justs,Heartbeat,1,8,132,20,15,132
S2,Lithuania,Donny Montell,I've Been Waiting for This Night,9,4,222,16,9,200
S2,Macedonia,Kaliopi,Dona (Дона),8,11,88,,,
S1,Malta,Ira Losco,Walk on Water,18,3,209,22,12,153
S1,Moldova,Lidia Isac,Falling Stars,3,17,33,,,
S1,Montenegro,Highway,The Real Thing,15,13,60,,,
S1,Netherlands,Douwe Bob,Slow Down,6,5,197,3,11,153
S2,Norway,Agnete,Icebreaker,15,13,63,,,
S2,Poland,Michał Szpak,Color of Your Life,2,6,151,12,8,229
S1,Russia,Sergey Lazarev,You Are the Only One,9,1,342,18,3,491
S1,San Marino,Serhat,I Didn't Know,8,12,68,,,
S2,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),6,10,105,15,18,115
S2,Slovenia,ManuElla,Blue and Red,11,14,57,,,
F,Spain,Barei,Say Yay!,,,,19,22,77
F,Sweden,Frans,If I Were Sorry,,,,9,5,261
S2,Ukraine,Jamala,1944,14,2,287,21,1,534
F,United Kingdom,Joe & Jake,You're Not Alone,,,,25,24,62
